w1b	w2b	w3b	w4b	l2	l3	l4
20491	6291844	1835552	16943120	6312335	8147887	25091007
20491	6291844	1835552	16942096	6312335	8147887	25089983
20491	6291844	1835552	16820240	6312335	8147887	24968127
20491	6291844	1835552	25329680	6312335	8147887	33477567
20491	6291844	1835552	25176080	6312335	8147887	33323967
20491	6291844	1320448	16943120	6312335	7632783	24575903
20491	6291844	1320448	25329680	6312335	7632783	32962463
20491	6291844	17835520	821264	6312335	24147855	24969119
20491	6291844	1182224	17571872	6312335	7494559	25066431
20491	6291844	25297936	1321024	6312335	31610271	32931295
20491	6291844	25297936	1845248	6312335	31610271	33455519
20491	6291844	25297936	1843264	6312335	31610271	33453535
20491	6291844	35130368	17080336	6312335	41442703	58523039
20491	6291844	35130368	25329680	6312335	41442703	66772383
20491	6291844	35130368	25460752	6312335	41442703	66903455
20491	6291844	35130368	434192	6312335	41442703	41876895
20491	6291844	1190912	25460752	6312335	7503247	32963999
20491	6291844	1321024	25329680	6312335	7633359	32963039
20491	6291844	34218000	17860640	6312335	40530335	58390975
20491	6291844	9601040	17571872	6312335	15913375	33485247
20491	6291844	9472016	17571872	6312335	15784351	33356223
20491	6291844	1614848	25430032	6312335	7927183	33357215
20491	6291844	1247248	17571872	6312335	7559583	25131455
20491	18874756	8947728	1441888	18895247	27842975	29284863
20491	18874756	8947728	1319968	18895247	27842975	29162943
20491	18874756	8947728	1320000	18895247	27842975	29162975
20491	18874756	8947728	1320448	18895247	27842975	29163423
20491	18874756	8947728	1450048	18895247	27842975	29293023
20491	18874756	8947728	5513280	18895247	27842975	33356255
20491	18874756	8947728	5382208	18895247	27842975	33225183
20491	18874756	1058912	394768	18895247	19954159	20348927
20491	18874756	35129376	394768	18895247	54024623	54419391
20491	18874756	1704032	4524048	18895247	20599279	25123327
20491	18874756	1744896	4524048	18895247	20640143	25164191
20491	18874756	1614848	4524048	18895247	20510095	25034143
20491	393604	29392912	35129376	414095	29807007	64936383
20491	393604	29392912	35130368	414095	29807007	64937375
20491	1310916	29392912	34210080	1331407	30724319	64934399
20491	1310916	29392912	2630912	1331407	30724319	33355231
20491	1310916	2630912	25329680	1331407	3962319	29291999
20491	1310916	4882448	50341120	1331407	6213855	56554975
20491	1056964	29392912	34210080	1077455	30470367	64680447
20491	1056964	29392912	789248	1077455	30470367	31259615
20491	1056964	29392912	34343168	1077455	30470367	64813535
20491	1056964	29392912	787744	1077455	30470367	31258111
20491	1056964	34210080	25460752	1077455	35287535	60748287
20491	1056964	34210080	4524048	1077455	35287535	39811583
20491	1056964	16909840	34343168	1077455	17987295	52330463
20491	1056964	16909840	34373888	1077455	17987295	52361183
20491	1056964	21103120	34343168	1077455	22180575	56523743
20491	1056964	21103120	34373888	1077455	22180575	56554463
20491	1056964	789248	25297936	1077455	1866703	27164639
20491	1056964	789248	25329680	1077455	1866703	27196383
20491	1056964	789248	19005488	1077455	1866703	20872191
20491	1056964	25297936	34373888	1077455	26375391	60749279
20491	1056964	25297936	4981024	1077455	26375391	31356415
20491	1056964	25169152	4882448	1077455	26246607	31129055
20491	1056964	25169152	4980784	1077455	26246607	31227391
20491	1056964	34343168	25329680	1077455	35420623	60750303
20491	1056964	19038464	4524048	1077455	20115919	24639967
20491	1056964	50987264	4524048	1077455	52064719	56588767
20491	1056964	4524048	25821440	1077455	5601503	31422943
20491	1057924	29392912	34210080	1078415	30471327	64681407
20491	1057924	29392912	789248	1078415	30471327	31260575
20491	1057924	34210080	20973648	1078415	35288495	56262143
20491	1057924	34210080	25460752	1078415	35288495	60749247
20491	1057924	34210080	4524048	1078415	35288495	39812543
20491	1057924	688448	4524048	1078415	1766863	6290911
20491	1057924	21103120	34373888	1078415	22181535	56555423
20491	1057924	19038464	4524048	1078415	20116879	24640927
20491	1057924	50987264	4524048	1078415	52065679	56589727
20491	1057924	4524048	25821440	1078415	5602463	31423903
20491	1057924	34373888	23199760	1078415	35452303	58652063
20491	1181828	29392912	2630912	1202319	30595231	33226143
20491	1181828	29392912	34349312	1202319	30595231	64944543
20491	1181828	29392912	33825088	1202319	30595231	64420319
20491	1187972	29392912	789248	1208463	30601375	31390623
20491	2621716	16812224	1320448	2642207	19454431	20774879
20491	264244	688448	17835520	284735	973183	18808703
20491	264244	16941248	2630912	284735	17225983	19856895
20491	264244	16941248	1123584	284735	17225983	18349567
20491	264244	16941248	1646848	284735	17225983	18872831
20491	264244	16941248	4728064	284735	17225983	21954047
20491	264244	17835072	4882688	284735	18119807	23002495
20491	264244	17835520	4882688	284735	18120255	23002943
20491	526388	16941248	272128	546879	17488127	17760255
20491	526388	16941248	1320448	546879	17488127	18808575
20491	526388	16941248	1123584	546879	17488127	18611711
20491	526388	16941248	34930944	546879	17488127	52419071
20491	526388	1320000	19038464	546879	1866879	20905343
20491	526388	1320448	19038464	546879	1867327	20905791
20491	526388	19038464	5513280	546879	19585343	25098623
20491	526388	25460992	5382208	546879	26007871	31390079
20491	526388	1507456	18882880	546879	2054335	20937215
20491	526388	1507456	50340160	546879	2054335	52394495
20491	526388	1507456	50341120	546879	2054335	52395455
20491	526388	19137792	5382208	546879	19684671	25066879
20491	526388	1474624	50341120	546879	2021503	52362623
20491	526388	3571712	50340160	546879	4118591	54458751
20491	526388	3571712	50341120	546879	4118591	54459711
20491	559124	51511328	272128	579615	52090943	52363071
20491	559124	51511328	4464960	579615	52090943	56555903
20491	559124	51511328	4465920	579615	52090943	56556863
20491	559124	51511328	4202944	579615	52090943	56293887
20491	559124	1507456	18882880	579615	2087071	20969951
20491	559124	1507456	50340160	579615	2087071	52427231
20491	559124	1507456	50341120	579615	2087071	52428191
20491	559124	19137792	5382208	579615	19717407	25099615
20491	134164	1835552	18882880	154655	1990207	20873087
20491	134164	1835552	4202944	154655	1990207	6193151
20491	134164	1835552	20980032	154655	1990207	22970239
20491	134164	1835552	50340160	154655	1990207	52330367
20491	4458516	34210080	17835072	4479007	38689087	56524159
20491	4458516	34210080	17835520	4479007	38689087	56524607
20491	4458516	51511328	2630912	4479007	55990335	58621247
20491	4458516	51511328	2629952	4479007	55990335	58620287
