w1	w2	l2
20491	17867776	17888267
20491	1875968	1896459
20491	18391040	18411531
20491	17989648	18010139
20491	1212496	1232987
20491	1220864	1241355
20491	1476608	1497099
20491	1474576	1495067
20491	18251776	18272267
20491	18513920	18534411
20491	18120832	18141323
20491	16810132	16830623
20491	17080576	17101067
20491	16812292	16832783
20491	25460752	25481243
20491	25198864	25219355
20491	25460992	25481483
20491	1114320	1134811
20491	1640464	1660955
20491	1646608	1667099
20491	1247248	1267739
20491	1253392	1273883
20491	18022416	18042907
20491	1900560	1921051
20491	18153488	18173979
20491	1115396	1135887
20491	1638672	1659163
20491	1640704	1661195
20491	1123584	1144075
20491	1384704	1405195
20491	1646848	1667339
20491	1409280	1429771
20491	1245456	1265947
20491	1246464	1266955
20491	1247488	1267979
20491	1769728	1790219
20491	1900800	1921291
20491	1507456	1527947
20491	394260	414751
20491	401680	422171
20491	131920	152411
20491	16917520	16938011
20491	17694736	17715227
20491	394500	414991
20491	16909572	16930063
20491	17432864	17453355
20491	16910608	16931099
20491	139652	160143
20491	17171712	17192203
20491	1507584	1528075
20491	1966336	1986827
20491	50987264	51007755
20491	2236688	2257179
20491	2490640	2511131
20491	2752784	2773275
20491	1179796	1200287
20491	1442820	1463311
20491	17957892	17978383
20491	17958928	17979419
20491	1450240	1470731
20491	1450048	1470539
20491	1974272	1994763
20491	18489344	18509835
20491	1212688	1233179
20491	18219136	18239627
20491	18220032	18240523
20491	18743296	18763787
20491	1704196	1724687
20491	1712384	1732875
20491	18483200	18503691
20491	17171472	17191963
20491	296980	317471
20491	33816964	33837455
20491	1312900	1333391
20491	395284	415775
20491	401668	422159
20491	917764	938255
20491	1835044	1855535
20491	1345540	1366031
20491	17563780	17584271
20491	270672	291163
20491	17563920	17584411
20491	19144720	19165211
20491	4524048	4544539
20491	917584	938075
20491	1966096	1986587
20491	1867792	1888283
20491	1310928	1331419
20491	4464912	4485403
20491	25430032	25450523
20491	270544	291035
20491	4464784	4485275
20491	786848	807339
20491	264608	285099
20491	17041792	17062283
20491	17047936	17068427
20491	394624	415115
20491	395648	416139
20491	19136896	19157387
20491	4587664	4608155
20491	426368	446859
20491	1321088	1341579
20491	1319056	1339547
20491	1441936	1462427
20491	1835152	1855643
20491	1442064	1462555
20491	19136784	19157275
20491	786880	807371
20491	17042688	17063179
20491	17048832	17069323
20491	8782096	8802587
20491	9175424	9195915
20491	25952512	25973003
20491	33947920	33968411
20491	265264	285755
20491	4459536	4480027
20491	21234704	21255195
20491	263444	283935
20491	17040656	17061147
20491	787744	808235
20491	396544	417035
20491	427264	447755
20491	918784	939275
20491	2360592	2381083
20491	19137792	19158283
20491	21234944	21255435
20491	1346560	1367051
20491	265236	285727
20491	796688	817179
20491	264580	285071
20491	821504	841995
20491	919808	940299
20491	17074192	17094683
20491	434192	454683
20491	794912	815403
20491	34349312	34369803
20491	19144960	19165451
20491	1319940	1340431
20491	1482752	1503243
20491	819220	839711
20491	820240	840731
20491	827408	847899
20491	21266448	21286939
20491	8683664	8704155
20491	17072388	17092879
20491	950528	971019
20491	17203456	17223947
20491	34373888	34394379
20491	4620304	4640795
20491	1474624	1495115
20491	1998848	2019339
20491	1376336	1396827
20491	34930944	34951435
20491	786640	807131
20491	918544	939035
20491	21757968	21778459
20491	787716	808207
20491	794944	815435
20491	2883856	2904347
20491	19661056	19681547
20491	5111824	5132315
20491	9306368	9326859
20491	4063232	4083723
20491	1836036	1856527
20491	1843264	1863755
20491	1844224	1864715
20491	1967104	1987595
20491	17565712	17586203
20491	1843216	1863707
20491	18612240	18632731
20491	3408144	3428635
20491	1311168	1331659
20491	1319232	1339723
20491	18612480	18632971
20491	18088976	18109467
20491	1313028	1333519
20491	3571712	3592203
20491	18219040	18239531
20491	18221056	18241547
20491	2885648	2906139
20491	4491280	4511771
20491	4982800	5003291
20491	5013520	5034011
20491	4457732	4478223
20491	4981024	5001515
20491	4464960	4485451
20491	4465920	4486411
20491	4489488	4509979
20491	21266688	21287179
20491	4587792	4608283
20491	4589824	4610315
20491	4981120	5001611
20491	6553872	6574363
20491	5513280	5533771
20491	5636112	5656603
20491	17571872	17592363
20491	17074304	17094795
20491	17047684	17068175
20491	17178640	17199131
20491	4718980	4739471
20491	17301652	17322143
20491	17311760	17332251
20491	532628	553119
20491	1581136	1601627
20491	1573072	1593563
20491	532880	553371
20491	4980880	5001371
20491	21495952	21516443
20491	525700	546191
20491	524720	545211
